id,price,accommodates,bedrooms,beds,review_scores_rating,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_experience,is_professional_host,is_entire_home_apt,is_private_room,is_shared_room,is_hotel_room,is_pankow,is_neukoelln,is_mitte,is_friedrichshain_kreuzberg,is_charlottenburg_wilm,is_tempelhof_schoeneberg,is_lichtenberg,is_steglitz_zehlendorf,is_treptow_koepenick,is_reinickendorf,is_marzahn_hellersdorf,is_spandau,dist_brandenburger_tor,dist_alexanderplatz,dist_reichstagsgebaeude,dist_potsdamer_platz,dist_siegessaeule,dist_tiergarten,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_washer,has_dryer,has_heating,has_tv,has_dishwasher,has_refrigerator,has_microwave,has_coffee_maker,has_hot_water,has_smoke_alarm,has_essentials,has_hair_dryer,has_iron,has_bed_linens,has_shampoo,has_free_washer,bathrooms,property_entire_rental_unit,property_private_room_in_rental_unit,property_entire_condo,property_entire_serviced_apartment,property_room_in_hotel,property_private_room_in_condo,property_entire_loft,property_private_room_in_home,property_entire_home,property_private_room_in_bed_and_breakfast,property_private_room_in_hostel,property_entire_guesthouse,property_room_in_boutique_hotel,property_shared_room_in_hostel,property_room_in_aparthotel,property_other,bedroom_density,beds_per_person,bathrooms_per_person,total_rooms,avg_dist_to_landmark,review_score_std,min_dist_to_landmark,total_amenities
37346562,85.0,2,1.0,1.0,4.63,251,4.8,4.74,4.93,4.88,4.75,4.63,2513.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.188653407424229,7.600798897693494,5.083240998151072,5.205688441599052,3.3401335013201328,3.9086658012072704,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,5.054530174565875,0.11472534489773717,3.3401335013201328,12
37359998,180.0,6,2.0,3.0,4.89,163,4.9,4.88,4.92,4.93,4.94,4.67,4513.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.97946585444355,3.756285320824604,3.2592908269164225,2.273670809085806,3.84680310046938,3.1322500402748297,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.16666666666666666,3.0,3.207960992002432,0.09324826054805582,2.273670809085806,11
37412496,153.0,3,1.0,2.0,5.0,204,4.93,5.0,4.97,5.0,4.98,4.77,2244.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.07103983813791,2.2323508375685908,3.9757929426520393,4.694293231775389,5.678163939918375,5.589751267248775,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,4.373565342883514,0.0832666399786455,2.2323508375685908,9
37442240,112.0,3,1.0,2.0,4.68,165,4.73,4.75,4.7,4.65,4.91,4.56,3985.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9621950392566344,2.004023927398672,0.7974703072357778,1.728707480187988,2.514644980079979,2.400013803594126,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,1.7345092562921962,0.10730463976122254,0.7974703072357778,9
37443723,61.0,2,1.0,1.0,4.82,227,4.88,4.91,4.91,4.88,4.88,4.71,3360.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.692897228127643,1.4048472115723905,3.799607259069905,3.8614073827820334,5.565084148530398,5.1373799204819734,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,3.9102038584273906,0.07091242083423348,1.4048472115723905,13
37446212,58.0,2,1.0,1.0,4.96,164,4.95,4.98,4.94,4.99,4.96,4.85,4508.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5098301288040767,0.9850469294756732,2.4478869326831205,3.1024292716629738,4.224976987603088,4.056404758610259,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,2.887762501473199,0.04608480795022957,0.9850469294756732,11
37486460,106.0,2,1.0,1.0,4.96,24,4.79,4.83,4.92,4.92,4.79,4.71,2242.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.011049386245398,4.1779960805316305,6.196763634475043,5.8721753223443125,7.753401772408176,7.173713834751639,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,6.197516671792699,0.09034326074425672,4.1779960805316305,13
37486999,52.0,2,1.0,0.0,4.8,35,4.8,4.77,4.83,4.91,4.94,4.54,3368.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.9831159863014887,5.149617537992422,2.787565610150608,3.3333151135975543,1.6686192306274557,2.374748499639999,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,2.0,3.049496996384921,0.1297983784475718,1.6686192306274557,13
37558386,65.0,2,1.0,1.0,4.84,177,4.88,4.64,4.96,4.98,4.73,4.83,2240.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.973871926786511,14.826982514915208,16.228892138531435,15.491049548141236,17.247136387043007,16.53841504691428,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2.0,16.05105792705528,0.12092894411103385,14.826982514915208,14
37578254,461.0,2,1.0,1.0,4.6,119,4.65,4.74,4.54,4.62,4.72,4.57,2239.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.088998301672893,2.9727592920412085,5.234984057038209,5.104187080879602,6.921996243143487,6.415821274722676,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.75,2.5,5.289791041583012,0.07435436388384631,2.9727592920412085,13
